CBSA,FIPS,AvgPrice,LogAvgPrice,AvgPrIncr,MetroArea,State,SaleInc,EmpInc,ConstInc,3YChEmp,3YChPerm,NormHousingGap,NormMarketDMD,TransGain,LogTransGain,PropOnMarket,DaysOnMarket,SalesLag,Nielsen,NormPref,LogNormPref
38340,25003,297050,5.472829557,0.0421,Pittsfield,MA,9.1,2.2,4.2,-2025,6019,-3.972345679,-0.005333204,-24161.23457,0,5296,47,1.216666667,21,0.074976458,-1.12507508
28740,36111,245000,5.389166084,0.1185,Kingston,NY,7.7,1.7,3.1,75,365,-3.866666667,-0.001815095,-39195.33333,0,561,44,1.266666667,447,0.043096494,-1.365558059
37980,42101,419950,5.623197586,0.0244,Philadelphia-Camden-Wilmingtond, PA-NJ-DE-MD,8.9,1.9,1.9,9275,6551,0.293692722,0.002902351,25809.77736,4.411784258,3295.5,64.25,0.929166667,102,0.033286932,-1.477726231
29460,12105,225050,5.352279017,-0.002,Lakeland-Winter Haven,FL,7.7,3.2,3.4,2492,747,0.70024077,0.002365701,26968.6547,4.430859283,2590,65,0.916666667,187,0.027968971,-1.553323511
20500,37135,199750,5.300486788,-0.001,Durham-Chapel Hill,NC,9.2,1.7,2.3,1600,5002,-2.12625,-0.038042478,-1593.748438,0,314,79,0.683333333,898,0.019813771,-1.703032861
36100,12083,252475,5.402218381,0.0158,Ocala,FL,8.7,2.5,2.8,4492,4904,-0.091718611,-0.000287232,27665.30944,4.441935532,5036.5,75.5,0.741666667,117,-0.002818531,0
28940,47145,289950,5.462323113,0.0542,Knoxville,TN,7.4,1.9,2.2,667,654,0.019490255,5.50E-05,22719.26537,4.356394284,830.5,544,-7.066666667,544,-0.0042201,0
25180,54003,225000,5.352182518,0.1247,Hagerstown-Martinsburg,MD-WV,7.7,0.2,0.2,1942,504,0.740473738,0.00539445,51726.44181,4.713712605,936,134,-0.233333333,443,-0.031137413,0
19660,12127,377500,5.576916956,-0.054,Deltona-Daytona Beach-Ormond Beach,FL,9,3.9,6,-2008,211,-1.105079681,-0.003075999,19019.29407,4.279194393,2533,32,1.466666667,50,-0.04103534,0
41620,49035,425050,5.628440021,0.0368,Salt Lake City,UT,8,0.1,0.1,7275,7414,-0.019106529,-0.003549574,31714.10447,4.501252452,137.5,57.75,1.0375,774,-0.055855091,0
,,,,,,,,,,,,,,,,,,, ,,
